,Member Institution,Conference,Division
754,Crown College (Minnesota),Upper Midwest Athletic Conference,3
755,Curry College,Commonwealth Coast Conference,3
756,Dean College,New England Collegiate Conference,3
757,Defiance College,Heartland Collegiate Athletic Conference,3
758,Delaware Valley University,Middle Atlantic Conferences,3
759,Denison University,North Coast Athletic Conference,3
760,DePauw University,North Coast Athletic Conference,3
761,DeSales University,Middle Atlantic Conferences,3
762,Dickinson College,Centennial Conference,3
763,Dominican University (Illinois),Northern Athletics Collegiate Conference,3
764,Drew University,Landmark Conference,3
765,D'Youville College,Allegheny Mountain Collegiate Conference,3
766,Earlham College,Heartland Collegiate Athletic Conference,3
767,East Texas Baptist University,American Southwest Conference,3
768,Eastern Connecticut State University,Little East Conference,3
769,Eastern Mennonite University,Old Dominion Athletic Conf.,3
770,Eastern Nazarene College,New England Collegiate Conference,3
771,Eastern University,Middle Atlantic Conferences,3
772,Edgewood College,Northern Athletics Collegiate Conference,3
773,Elizabethtown College,Landmark Conference,3
774,Elmhurst College,College Conference of Illinois & Wisconsin,3
775,Elmira College,Empire 8,3
776,Elms College,New England Collegiate Conference,3
777,Emerson College,New England Women's and Men's Athletic Conference,3
778,Emmanuel College (Massachusetts),Great Northeast Athletic Conference,3
779,Emory & Henry College,Old Dominion Athletic Conf.,3
780,Emory and Henry College,Old Dominion Athletic Conf.,3
781,Emory University,University Athletic Association,3
782,Endicott College,Commonwealth Coast Conference,3
783,Eureka College,St. Louis Intercollegiate Athletic Conference,3
784,"Fairleigh Dickinson University, Florham",Middle Atlantic Conferences,3
785,Farmingdale State College,Skyline Conference,3
786,Ferrum College,Old Dominion Athletic Conf.,3
787,Finlandia University,American Collegiate Athletic Association,3
788,Fitchburg State University,Massachusetts State Collegiate Athletic Conference,3
789,Fontbonne University,St. Louis Intercollegiate Athletic Conference,3
790,Framingham State University,Massachusetts State Collegiate Athletic Conference,3
791,Franciscan University of Steubenville,Allegheny Mountain Collegiate Conference,3
792,Franklin & Marshall College,Centennial Conference,3
793,Franklin College,Heartland Collegiate Athletic Conference,3
794,Gallaudet University,North Eastern Athletic Conference,3
795,Geneva College,Presidents' Athletic Conference,3
796,George Fox University,Northwest Conference,3
797,Gettysburg College,Centennial Conference,3
798,Gordon College,Commonwealth Coast Conference,3
799,Goucher College,Landmark Conference,3
800,Greensboro College,,3
801,Greenville University,St. Louis Intercollegiate Athletic Conference,3
802,Grinnell College,Midwest Conference,3
803,Grove City College,Presidents' Athletic Conference,3
804,Guilford College,Old Dominion Athletic Conf.,3
805,Gustavus Adolphus College,Minnesota Intercollegiate Athletic Conference,3
806,Gwynedd Mercy University,Atlantic East Conference,3
807,Hamilton College,New England Small College Athletic Conference,3
808,Hamline University,Minnesota Intercollegiate Athletic Conference,3
809,Hampden-Sydney College,Old Dominion Athletic Conf.,3
810,Hanover College,Heartland Collegiate Athletic Conference,3
811,Hardin-Simmons University,American Southwest Conference,3
812,Hartwick College,Empire 8,3
813,Haverford College,Centennial Conference,3
814,Heidelberg University,Ohio Athletic Conference,3
815,Hendrix College,Southern Athletic Association,3
816,Hilbert College,Allegheny Mountain Collegiate Conference,3
817,Hiram College,North Coast Athletic Conference,3
818,Hobart and William Smith Colleges,Liberty League,3
819,Hollins University,Old Dominion Athletic Conf.,3
820,Hood College,Middle Atlantic Conferences,3
821,Hope College,Michigan Intercol. Ath. Assn.,3
822,Houghton College,Empire 8,3
823,Howard Payne University,American Southwest Conference,3
824,Hunter College,City University of New York Athletic Conference,3
825,Huntingdon College,USA South Athletic Conference,3
826,Husson University,North Atlantic Conference,3
827,Illinois College,Midwest Conference,3
828,Illinois Institute of Technology,Northern Athletics Collegiate Conference,3
829,Illinois Wesleyan University,College Conference of Illinois & Wisconsin,3
830,Immaculata University,Atlantic East Conference,3
831,Iowa Wesleyan University,St. Louis Intercollegiate Athletic Conference,3
832,Ithaca College,Liberty League,3
833,John Carroll University,Ohio Athletic Conference,3
834,John Jay College of Criminal Justice,City University of New York Athletic Conference,3
835,Johns Hopkins University,Centennial Conference,3
836,Johnson & Wales University (Denver),Southern Collegiate Athletic Conference,3
837,Johnson & Wales University (Providence),Great Northeast Athletic Conference,3
838,Juniata College,Landmark Conference,3
839,Kalamazoo College,Michigan Intercol. Ath. Assn.,3
840,Kean University,New Jersey Athletic Conference,3
841,Keene State College,Little East Conference,3
842,Kenyon College,North Coast Athletic Conference,3
843,Keuka College,North Eastern Athletic Conference,3
844,Keystone College,Colonial States Athletic Conference,3
845,King's College (Pennsylvania),Middle Atlantic Conferences,3
846,Knox College,Midwest Conference,3
847,La Roche University,Allegheny Mountain Collegiate Conference,3
848,LaGrange College,USA South Athletic Conference,3
849,Lake Forest College,Midwest Conference,3
850,Lakeland University,Northern Athletics Collegiate Conference,3
851,Lancaster Bible College,North Eastern Athletic Conference,3
852,Lasell University,Great Northeast Athletic Conference,3
853,Lawrence University,Midwest Conference,3
854,Lebanon Valley College,Middle Atlantic Conferences,3
855,Lehman College,City University of New York Athletic Conference,3
856,Lesley University,New England Collegiate Conference,3
857,LeTourneau University,American Southwest Conference,3
858,Lewis & Clark College,Northwest Conference,3
859,Linfield College,Northwest Conference,3
860,Loras College,American Rivers Conference,3
861,Louisiana College,American Southwest Conference,3
862,Luther College,American Rivers Conference,3
863,Lycoming College,Middle Atlantic Conferences,3
864,Macalester College,Minnesota Intercollegiate Athletic Conference,3
865,Maine Maritime Academy,North Atlantic Conference,3
866,Manchester University,Heartland Collegiate Athletic Conference,3
867,Manhattanville College,Skyline Conference,3
868,Maranatha Baptist University,Independent,3
869,Marian University (Wisconsin),Northern Athletics Collegiate Conference,3
870,Marietta College,Ohio Athletic Conference,3
871,Martin Luther College,Upper Midwest Athletic Conference,3
872,Mary Baldwin University,USA South Athletic Conference,3
873,Marymount University (Virginia),Atlantic East Conference,3
874,Maryville College (Tennessee),USA South Athletic Conference,3
875,Marywood University,Atlantic East Conference,3
876,Massachusetts College of Liberal Arts,Massachusetts State Collegiate Athletic Conference,3
877,Massachusetts Institute of Technology,New England Women's and Men's Athletic Conference,3
878,Massachusetts Maritime Academy,Massachusetts State Collegiate Athletic Conference,3
879,McDaniel College,Centennial Conference,3
880,McMurry University,American Southwest Conference,3
881,Medaille College,Allegheny Mountain Collegiate Conference,3
882,Medgar Evers College,City University of New York Athletic Conference,3
883,Meredith College,USA South Athletic Conference,3
884,Messiah College,Middle Atlantic Conferences,3
885,Methodist University,USA South Athletic Conference,3
886,Middlebury College,New England Small College Athletic Conference,3
887,Millikin University,College Conference of Illinois & Wisconsin,3
888,Mills College,American Collegiate Athletic Association,3
889,Millsaps College,Southern Athletic Association,3
890,Milwaukee School of Engineering,Northern Athletics Collegiate Conference,3
891,Misericordia University,Middle Atlantic Conferences,3
892,Mississippi University for Women,Independent,3
893,Mitchell College,New England Collegiate Conference,3
894,Monmouth College (Illinois),Midwest Conference,3
895,Montclair State University,New Jersey Athletic Conference,3
896,Moravian College,Landmark Conference,3
897,Morrisville State College,North Eastern Athletic Conference,3
898,Mount Aloysius College,Allegheny Mountain Collegiate Conference,3
899,Mount Holyoke College,New England Women's and Men's Athletic Conference,3
900,Mount Mary University,American Collegiate Athletic Association,3
901,Mount Saint Mary College (New York),Skyline Conference,3
902,Mount St. Joseph University,Heartland Collegiate Athletic Conference,3
903,Muhlenberg College,Centennial Conference,3
904,Muskingum University,Ohio Athletic Conference,3
905,Nazareth College,Empire 8,3
906,Nebraska Wesleyan University,American Rivers Conference,3
907,Neumann University,Atlantic East Conference,3
908,New England College,New England Collegiate Conference,3
909,New Jersey City University,New Jersey Athletic Conference,3
910,New York University,University Athletic Association,3
911,Nichols College,Commonwealth Coast Conference,3
912,North Carolina Wesleyan College,USA South Athletic Conference,3
913,North Central College,College Conference of Illinois & Wisconsin,3
914,North Central University,Upper Midwest Athletic Conference,3
915,North Park University,College Conference of Illinois & Wisconsin,3
916,Northern Vermont University-Johnson,North Atlantic Conference,3
917,Northern Vermont University-Lyndon,North Atlantic Conference,3
918,Northland College,Upper Midwest Athletic Conference,3
919,Norwich University,Great Northeast Athletic Conference,3
920,Notre Dame of Maryland University,Colonial States Athletic Conference,3
921,Oberlin College,North Coast Athletic Conference,3
922,Occidental College,Southern California Intercollegiate Athletic Conf.,3
923,Oglethorpe University,Southern Athletic Association,3
924,Ohio Northern University,Ohio Athletic Conference,3
925,Ohio Wesleyan University,North Coast Athletic Conference,3
926,Olivet College,Michigan Intercol. Ath. Assn.,3
927,Otterbein University,Ohio Athletic Conference,3
928,Pacific Lutheran University,Northwest Conference,3
929,Pacific University (Oregon),Northwest Conference,3
930,Penn State Berks College,North Eastern Athletic Conference,3
931,Penn State Harrisburg,North Eastern Athletic Conference,3
932,"Penn State University, Abington",North Eastern Athletic Conference,3
933,"Penn State University, Altoona",Allegheny Mountain Collegiate Conference,3
934,Pennsylvania College of Technology,North Eastern Athletic Conference,3
935,"Pennsylvania State Univ. Erie, the Behrend College",Allegheny Mountain Collegiate Conference,3
936,Pfeiffer University,USA South Athletic Conference,3
937,Piedmont College,USA South Athletic Conference,3
938,Pine Manor College,American Collegiate Athletic Association,3
939,Plattsburgh State University of New York,State University of New York Athletic Conference,3
940,Plymouth State University,Little East Conference,3
941,Pomona-Pitzer Colleges,Southern California Intercollegiate Athletic Conf.,3
942,Pratt Institute,American Collegiate Athletic Association,3
943,Principia College,St. Louis Intercollegiate Athletic Conference,3
944,"Purchase College, State University of New York",Skyline Conference,3
945,Ramapo College,New Jersey Athletic Conference,3
946,Randolph College,Old Dominion Athletic Conf.,3
947,Randolph-Macon College,Old Dominion Athletic Conf.,3
948,Regis College (Massachusetts),Great Northeast Athletic Conference,3
949,Rensselaer Polytechnic Institute,Liberty League,3
950,Rhode Island College,Little East Conference,3
951,Rhodes College,Southern Athletic Association,3
952,Ripon College,Midwest Conference,3
953,Rivier University,Great Northeast Athletic Conference,3
954,Roanoke College,Old Dominion Athletic Conf.,3
955,Rochester Institute of Technology,Liberty League,3
956,Rockford University,Northern Athletics Collegiate Conference,3
957,Roger Williams University,Commonwealth Coast Conference,3
958,Rose-Hulman Institute of Technology,Heartland Collegiate Athletic Conference,3
959,Rosemont College,Colonial States Athletic Conference,3
960,Rowan University,New Jersey Athletic Conference,3
961,"Rutgers, The State Univ. of New Jersey, Camden",New Jersey Athletic Conference,3
962,"Rutgers, The State Univ. of New Jersey, Newark",New Jersey Athletic Conference,3
963,Saint John's University (Minnesota),Minnesota Intercollegiate Athletic Conference,3
964,Saint Joseph's College (Maine),Great Northeast Athletic Conference,3
965,Saint Mary's College (Indiana),Michigan Intercol. Ath. Assn.,3
966,Saint Mary's University of Minnesota,Minnesota Intercollegiate Athletic Conference,3
967,Saint Vincent College,Presidents' Athletic Conference,3
968,Salem College (North Carolina),USA South Athletic Conference,3
969,Salem State University,Massachusetts State Collegiate Athletic Conference,3
970,Salisbury University,Capital Athletic Conference Inc.,3
971,Salve Regina University,Commonwealth Coast Conference,3
972,Sarah Lawrence College,Skyline Conference,3
973,Schreiner University,Southern Collegiate Athletic Conference,3
974,Shenandoah University,Old Dominion Athletic Conf.,3
975,Simmons University,Great Northeast Athletic Conference,3
976,Simpson College,American Rivers Conference,3
977,Skidmore College,Liberty League,3
978,Smith College,New England Women's and Men's Athletic Conference,3
979,Southern Virginia University,Capital Athletic Conference Inc.,3
980,Southwestern University (Texas),Southern Collegiate Athletic Conference,3
981,Spalding University,St. Louis Intercollegiate Athletic Conference,3
982,Springfield College,New England Women's and Men's Athletic Conference,3
983,St. Catherine University,Minnesota Intercollegiate Athletic Conference,3
984,St. John Fisher College,Empire 8,3
985,St. Joseph's College (Brooklyn),Skyline Conference,3
986,St. Joseph's College (Long Island),Skyline Conference,3
987,St. Lawrence University,Liberty League,3
988,St. Mary's College of Maryland,Capital Athletic Conference Inc.,3
989,St. Norbert College,Midwest Conference,3
990,St. Olaf College,Minnesota Intercollegiate Athletic Conference,3
991,State University College at Old Westbury,Skyline Conference,3
992,State University of New York at Canton,North Atlantic Conference,3
993,State University of New York at Cobleskill,North Eastern Athletic Conference,3
994,State University of New York at Cortland,State University of New York Athletic Conference,3
995,State University of New York at Delhi,North Atlantic Conference,3
996,State University of New York at Geneseo,State University of New York Athletic Conference,3
997,State University of New York at New Paltz,State University of New York Athletic Conference,3
998,State University of New York at Oneonta,State University of New York Athletic Conference,3
999,State University of New York at Oswego,State University of New York Athletic Conference,3
1000,State University of New York at Potsdam,State University of New York Athletic Conference,3
1001,State University of New York Maritime College,Skyline Conference,3
1002,State University of New York Polytechnic Institute,North Eastern Athletic Conference,3
1003,Stevens Institute of Technology,Middle Atlantic Conferences,3
1004,Stevenson University,Middle Atlantic Conferences,3
1005,Stockton University,New Jersey Athletic Conference,3
1006,Suffolk University,Great Northeast Athletic Conference,3
1007,Sul Ross State University,American Southwest Conference,3
1008,Susquehanna University,Landmark Conference,3
1009,Swarthmore College,Centennial Conference,3
1010,Sweet Briar College,Old Dominion Athletic Conf.,3
1011,Texas Lutheran University,Southern Collegiate Athletic Conference,3
1012,The City College of New York,City University of New York Athletic Conference,3
1013,The College of New Jersey,New Jersey Athletic Conference,3
1014,The College of St. Scholastica,Upper Midwest Athletic Conference,3
1015,The College of Wooster,North Coast Athletic Conference,3
1016,The Sage Colleges,Empire 8,3
1017,The State University of New York at Fredonia,State University of New York Athletic Conference,3
1018,Thiel College,Presidents' Athletic Conference,3
1019,Thomas College,North Atlantic Conference,3
1020,Transylvania University,Heartland Collegiate Athletic Conference,3
1021,Trine University,Michigan Intercol. Ath. Assn.,3
1022,Trinity College (Connecticut),New England Small College Athletic Conference,3
1023,Trinity University (Texas),Southern Collegiate Athletic Conference,3
1024,Trinity Washington University,Independent,3
1025,Tufts University,New England Small College Athletic Conference,3
1026,U.S. Coast Guard Academy,New England Women's and Men's Athletic Conference,3
1027,U.S. Merchant Marine Academy,Skyline Conference,3
1028,Union College (New York),Liberty League,3
1029,"University of California, Santa Cruz",American Collegiate Athletic Association,3
1030,University of Chicago,University Athletic Association,3
1031,University of Dallas,Southern Collegiate Athletic Conference,3
1032,University of Dubuque,American Rivers Conference,3
1033,University of La Verne,Southern California Intercollegiate Athletic Conf.,3
1034,University of Lynchburg,Old Dominion Athletic Conf.,3
1035,University of Maine at Presque Isle,North Atlantic Conference,3
1036,"University of Maine, Farmington",North Atlantic Conference,3
1037,University of Mary Hardin-Baylor,American Southwest Conference,3
1038,University of Mary Washington,Capital Athletic Conference Inc.,3
1039,University of Massachusetts Boston,Little East Conference,3
1040,"University of Massachusetts, Dartmouth",Little East Conference,3
1041,"University of Minnesota, Morris",Upper Midwest Athletic Conference,3
1042,University of Mount Union,Ohio Athletic Conference,3
1043,University of New England,Commonwealth Coast Conference,3
1044,University of Northwestern-St. Paul,Upper Midwest Athletic Conference,3
1045,"University of Pittsburgh, Bradford",Allegheny Mountain Collegiate Conference,3
1046,"University of Pittsburgh, Greensburg",Allegheny Mountain Collegiate Conference,3
1047,University of Puget Sound,Northwest Conference,3
1048,University of Redlands,Southern California Intercollegiate Athletic Conf.,3
1049,University of Rochester,University Athletic Association,3
1050,University of Scranton,Landmark Conference,3
1051,University of Southern Maine,Little East Conference,3
1052,University of St. Joseph (Connecticut),Great Northeast Athletic Conference,3
1053,University of St. Thomas (Minnesota),Minnesota Intercollegiate Athletic Conference,3
1054,University of St. Thomas (Texas),Southern Collegiate Athletic Conference,3
1055,University of Texas at Dallas,American Southwest Conference,3
1056,University of the Ozarks (Arkansas),American Southwest Conference,3
1057,University of the South,Southern Athletic Association,3
1058,University of Valley Forge,American Collegiate Athletic Association,3
1059,University of Wisconsin-Eau Claire,Wisconsin Intercollegiate Athletic Conference,3
1060,University of Wisconsin-La Crosse,Wisconsin Intercollegiate Athletic Conference,3
1061,University of Wisconsin-Oshkosh,Wisconsin Intercollegiate Athletic Conference,3
1062,University of Wisconsin-Platteville,Wisconsin Intercollegiate Athletic Conference,3
1063,University of Wisconsin-River Falls,Wisconsin Intercollegiate Athletic Conference,3
1064,University of Wisconsin-Stevens Point,Wisconsin Intercollegiate Athletic Conference,3
1065,University of Wisconsin-Stout,Wisconsin Intercollegiate Athletic Conference,3
1066,University of Wisconsin-Superior,Upper Midwest Athletic Conference,3
1067,University of Wisconsin-Whitewater,Wisconsin Intercollegiate Athletic Conference,3
1068,Ursinus College,Centennial Conference,3
1069,Utica College,Empire 8,3
1070,Vassar College,Liberty League,3
1071,Virginia Wesleyan University,Old Dominion Athletic Conf.,3
1072,Wabash College,North Coast Athletic Conference,3
1073,Wartburg College,American Rivers Conference,3
1074,Washington and Jefferson College,Presidents' Athletic Conference,3
1075,Washington and Lee University,Old Dominion Athletic Conf.,3
1076,Washington College (Maryland),Centennial Conference,3
1077,Washington University in St. Louis,University Athletic Association,3
1078,Waynesburg University,Presidents' Athletic Conference,3
1079,Webster University,St. Louis Intercollegiate Athletic Conference,3
1080,Wellesley College,New England Women's and Men's Athletic Conference,3
1081,Wells College,North Eastern Athletic Conference,3
1082,Wentworth Institute of Technology,Commonwealth Coast Conference,3
1083,Wesley College,Atlantic East Conference,3
1084,Wesleyan College (Georgia),USA South Athletic Conference,3
1085,Wesleyan University (Connecticut),New England Small College Athletic Conference,3
1086,Western Connecticut State University,Little East Conference,3
1087,Western New England University,Commonwealth Coast Conference,3
1088,Westfield State University,Massachusetts State Collegiate Athletic Conference,3
1089,Westminster College (Missouri),St. Louis Intercollegiate Athletic Conference,3
1090,Westminster College (Pennsylvania),Presidents' Athletic Conference,3
1091,Wheaton College (Illinois),College Conference of Illinois & Wisconsin,3
1092,Wheaton College (Massachusetts),New England Women's and Men's Athletic Conference,3
1093,Whitman College,Northwest Conference,3
1094,Whittier College,Southern California Intercollegiate Athletic Conf.,3
1095,Whitworth University,Northwest Conference,3
1096,Widener University,Middle Atlantic Conferences,3
1097,Wilkes University,Middle Atlantic Conferences,3
1098,Willamette University,Northwest Conference,3
1099,William Paterson University of New Jersey,New Jersey Athletic Conference,3
1100,William Peace University,USA South Athletic Conference,3
1101,Williams College,New England Small College Athletic Conference,3
1102,Wilmington College (Ohio),Ohio Athletic Conference,3
1103,Wilson College,Colonial States Athletic Conference,3
1104,Wisconsin Lutheran College,Northern Athletics Collegiate Conference,3
1105,Wittenberg University,North Coast Athletic Conference,3
1106,Worcester Polytechnic Institute,New England Women's and Men's Athletic Conference,3
1107,Worcester State University,Massachusetts State Collegiate Athletic Conference,3
1108,Yeshiva University,Skyline Conference,3
1109,York College (New York),City University of New York Athletic Conference,3
1110,York College (Pennsylvania),Capital Athletic Conference Inc.,3
